CUSTOMER_ID,ORDER_ID,item1,item2,item3,item4,RECOMMENDATION 1,RECOMMENDATION 2,RECOMMENDATION 3
303422953,7367995107,Regular Buffalo Fries,Fried Corn - Regular,Ranch Dip - Regular,,Large Buffalo Fries,Fried Corn - Large,Voodoo Fries - Regular
651161181,6251705624,8 pc Spicy Wings Combo,Add 5 Spicy Wings,Chicken Sub Combo,,8 pc Grilled Wings Combo,10 pc Grilled Wings Combo,6 pc Grilled Wings Combo
530147930,5055546718,20 pc Grilled Wings,Chicken Sub,4 pc Crispy Strips,,15 pc Grilled Wings,30 pc Family Grilled Wings,15 pc Spicy Wings
910189992,5674301849,7 pc Crispy Strips,Regular Buffalo Fries,Triple Chocolate Cake,,15 pc Spicy Wings,Voodoo Fries - Large,Buffalo Fries
245261230,6235808560,8 pc Grilled Wings Combo,Cheese Dip - Large,8 pc Spicy Wings Combo,,6 pc Grilled Wings Combo,10 pc Grilled Wings Combo,6 pc Spicy Wings Combo
4416881,3064527094,30 pc Family Grilled Wings,Add 5 Spicy Wings,Ranch Dip - Regular,,Flavor Platter,20 pc Grilled Wings,15 pc Grilled Wings Combo
371289572,692173050,8 pc Spicy Wings Combo,Ranch Dip - Regular,10 pc Spicy Wings Combo,,10 pc Grilled Wings Combo,8 pc Grilled Wings Combo,6 pc Spicy Wings Combo
269856603,432530606,Chicken Sub,Add 5 Grilled Wings,10 pc Grilled Wings Combo,,Honey Mustard Dip - Regular,Cheese Dip - Regular,8 pc Mixed Wings Combo
879683043,6605021198,Honey Mustard Dip - Regular,Fried Corn - Regular,3 pc Crispy Strips Combo,,Ranch Dip - Regular,Ranch Dip - Large,Fried Corn - Large
315958232,1474861848,Veggie Sticks Spicy,10 pc Spicy Wings,Ranch Dip - Regular,,15 pc Grilled Wings,25 pc Game Day Pack,20 pc Grilled Wings
158427631,6235540934,6 pc Spicy Wings Combo,5 pc Crispy Strips Combo,15 pc Spicy Wings Combo,,6 pc Grilled Wings Combo,8 pc Grilled Wings Combo,10 pc Grilled Wings Combo
310547085,1084179693,Ranch Dip - Large,Large Veggie Sticks Spicy,10 pc Spicy Wings,,Ranch Dip - Regular,Blue Cheese Dip - Regular,25 pc Game Day Pack
966062888,3083081458,3 pc Crispy Strips Combo,7 pc Crispy Strips,Ranch Dip - Large,,6 pc Grilled Wings Combo,8 pc Grilled Wings Combo,10 pc Grilled Wings Combo
240603386,2471266447,10 pc Grilled Wings,Ranch Dip - Regular,6 pc Spicy Wings Combo,,Ranch Dip - Large,15 pc Grilled Wings,15 pc Spicy Wings
717793967,9277376427,Ranch Dip - Regular,25 pc Game Day Pack,10 pc Spicy Wings,,Ranch Dip - Large,Blue Cheese Dip - Regular,Veggie Sticks Spicy
722730504,3822095030,8 pc Spicy Wings Combo,8 pc Grilled Wings Combo,Ranch Dip - Regular,,6 pc Grilled Wings Combo,10 pc Grilled Wings Combo,6 pc Spicy Wings Combo
399374791,8635267939,Large Buffalo Fries,Large Veggie Sticks Spicy,15 pc Grilled Wings,,Regular Buffalo Fries,Voodoo Fries - Regular,25 pc Game Day Pack
372985482,9975385466,Ranch Dip - Regular,20 Oz Soda,10 pc Grilled Wings,,Ranch Dip - Large,Blue Cheese Dip - Regular,32 Oz Soda
875106489,6002902756,Large Buffalo Fries,Fried Corn - Regular,Flavor Platter,,Regular Buffalo Fries,Fried Corn - Large,Voodoo Fries - Regular
42464808,9598626923,15 pc Grilled Wings,Ranch Dip - Regular,20pc Spicy Feast Deal,,20 pc Grilled Wings,30 pc Grilled Wings,20 pc Spicy Wings
179015818,2271437287,Fried Corn - Regular,Ranch Dip - Regular,2 pc Crispy Strips,,Ranch Dip - Large,Blue Cheese Dip - Regular,Fried Corn - Large
905714889,9127618166,6 pc Grilled Wings Combo,10 pc Spicy Wings Combo,10 pc Grilled Wings,,10 pc Grilled Wings Combo,8 pc Grilled Wings Combo,6 pc Spicy Wings Combo
47616816,5498030987,10 pc Grilled Wings Combo,8 pc Spicy Wings Combo,Ranch Dip - Regular,,8 pc Grilled Wings Combo,6 pc Grilled Wings Combo,6 pc Spicy Wings Combo
662138292,4893379515,3 pc Crispy Strips Combo,Ranch Dip - Large,10 pc Spicy Wings Combo,,10 pc Grilled Wings Combo,6 pc Grilled Wings Combo,8 pc Grilled Wings Combo
693103028,4497037762,6 pc Grilled Wings Combo,Regular Buffalo Fries,Ranch Dip - Regular,,8 pc Grilled Wings Combo,10 pc Grilled Wings Combo,6 pc Spicy Wings Combo
329910998,4061743760,Ranch Dip - Regular,Fried Corn - Regular,15 pc Grilled Wings,,Ranch Dip - Large,Blue Cheese Dip - Regular,Fried Corn - Large
16208992,9453738106,7 pc Crispy Strips,Ranch Dip - Large,Large Buffalo Fries,,Ranch Dip - Regular,Blue Cheese Dip - Regular,15 pc Spicy Wings
165915269,8653850514,20pc Spicy Feast Deal,Fried Corn - Large,15 pc Grilled Wings Combo,,Fried Corn - Regular,15 pc Spicy Wings,Flavor Platter
122929043,6262453914,Regular Buffalo Fries,20pc Spicy Feast Deal,Blue Cheese Dip - Regular,,Large Buffalo Fries,Flavor Platter,Voodoo Fries - Regular
316925508,1028695542,Regular Buffalo Fries,10 pc Mixed Wings Combo,7 pc Crispy Strips,,6 pc Grilled Wings Combo,8 pc Grilled Wings Combo,Large Buffalo Fries
689146623,9052570299,Ranch Dip - Large,10 pc Spicy Wings Combo,Regular Buffalo Fries,,Ranch Dip - Regular,8 pc Grilled Wings Combo,6 pc Grilled Wings Combo
302831416,4773468386,10 pc Spicy Wings,Large Buffalo Fries,Fried Corn - Regular,,15 pc Grilled Wings,20 pc Grilled Wings,Voodoo Fries - Regular
248670206,6788771349,8 pc Grilled Wings Combo,2 pc Crispy Strips,Ranch Dip - Regular,,6 pc Grilled Wings Combo,10 pc Grilled Wings Combo,6 pc Spicy Wings Combo
902700726,9044746507,20 Oz Soda,30 pc Family Mixed Wings,Triple Chocolate Cake,,32 Oz Soda,Voodoo Fries - Large,30 pc Family Grilled Wings
868212216,2016464487,30 pc Grilled Wings,Large Buffalo Fries,Ranch Dip - Regular,,30 pc Family Grilled Wings,15 pc Grilled Wings,20 pc Grilled Wings
695304861,7363404487,10 pc Spicy Wings,Ranch Dip - Regular,Add 5 Spicy Wings,,Ranch Dip - Large,15 pc Grilled Wings,Honey Mustard Dip - Regular
246430958,9515862942,20 Oz Soda,Fried Corn - Large,25 pc Game Day Pack,,Fried Corn - Regular,32 Oz Soda,Voodoo Fries - Large
856409489,292211849,Chicken Sub,Large Fruit Punch,20pc Spicy Feast Deal,,Honey Mustard Dip - Regular,Cheese Dip - Regular,Voodoo Fries - Large
72343235,577424637,Ranch Dip - Large,15 pc Grilled Wings,20pc Spicy Feast Deal,,Ranch Dip - Regular,Blue Cheese Dip - Regular,20 pc Grilled Wings
196116047,1891310798,Large Buffalo Fries,10 pc Grilled Wings,Ranch Dip - Regular,,Regular Buffalo Fries,15 pc Grilled Wings,20 pc Grilled Wings
296843243,4067339101,2 pc Crispy Strips,15 pc Grilled Wings,Voodoo Fries - Regular,,Dipping Sauce,20 pc Grilled Wings,30 pc Grilled Wings
423897805,7233925631,Chicken Sub Combo,Voodoo Fries - Regular,Ranch Dip - Regular,,8 pc Grilled Wings Combo,6 pc Grilled Wings Combo,10 pc Grilled Wings Combo
914626260,3311888453,10 pc Spicy Wings,Large Buffalo Fries,10 pc Grilled Wings,,15 pc Grilled Wings,20 pc Grilled Wings,Voodoo Fries - Regular
260131777,7128291259,3 pc Crispy Strips Combo,2 pc Crispy Strips,Fried Corn - Regular,,6 pc Grilled Wings Combo,8 pc Grilled Wings Combo,10 pc Grilled Wings Combo
802382779,4242501496,10 pc Grilled Wings,Ranch Dip - Regular,10 pc Spicy Wings Combo,,Ranch Dip - Large,15 pc Grilled Wings,20 pc Grilled Wings
626605150,3252867332,10 pc Grilled Wings,10 pc Spicy Wings,Cheese Fries - Regular,,15 pc Spicy Wings,15 pc Grilled Wings,20 pc Grilled Wings
726148845,9492275642,Add 5 Spicy Wings,Ranch Dip - Regular,Large Buffalo Fries,,Ranch Dip - Large,Fried Corn - Large,4 pc Crispy Strips
698295477,7332762886,Large Buffalo Fries,30 pc Family Mixed Wings,Blue Cheese Dip - Regular,,Regular Buffalo Fries,Voodoo Fries - Regular,40 pc Family Grilled Wings
